# Database file name:              /home/terminator2/Documents/R_Projects/AnomalyRulesMining/coron-0.8/../shifted.basenum
# Database file size:              21,716 bytes
# Number of lines:                 1,965
# Total number of attributes:      17
# Number of non empty attributes:  17
# Number of attributes in average: 4.58
# Density:                         26.96%
# min_supp:                        5, i.e. 0.25%
# Chosen algorithm:                A-Close

{1} (1588) [key: +; closure: {1}]
{13, 17} (44) [key: +; closure: {1, 6, 7, 13, 17}]
{14, 15} (93) [key: +; closure: {1, 6, 14, 15}]
{14, 17} (38) [key: +; closure: {1, 6, 7, 13, 14, 17}]
{15, 17} (32) [key: +; closure: {1, 15, 17}]

{1, 3, 4} (219) [key: +; closure: {1, 3, 4, 6, 8, 11, 17}]
{1, 3, 8} (225) [key: +; closure: {1, 3, 6, 8, 11, 17}]
{1, 3, 10} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{1, 3, 11} (231) [key: +; closure: {1, 3, 6, 11}]
{1, 3, 15} (26) [key: +; closure: {1, 3, 15}]
{1, 4, 7} (31) [key: +; closure: {1, 4, 6, 7, 11, 13}]
{1, 4, 8} (247) [key: +; closure: {1, 4, 6, 8, 11}]
{1, 4, 10} (13) [key: +; closure: {1, 4, 6, 8, 10, 11, 13}]
{1, 4, 13} (35) [key: +; closure: {1, 4, 6, 11, 13}]
{1, 4, 17} (237) [key: +; closure: {1, 4, 6, 8, 11, 17}]
{1, 6, 17} (286) [key: +; closure: {1, 6, 17}]
{1, 7, 8} (27) [key: +; closure: {1, 6, 7, 8, 11, 13}]
{1, 7, 11} (85) [key: +; closure: {1, 6, 7, 11}]
{1, 7, 12} (39) [key: +; closure: {1, 6, 7, 12}]
{1, 7, 17} (58) [key: +; closure: {1, 6, 7, 17}]
{1, 8, 13} (31) [key: +; closure: {1, 6, 8, 11, 13}]
{1, 8, 17} (247) [key: +; closure: {1, 6, 8, 11, 17}]
{1, 11, 13} (87) [key: +; closure: {1, 6, 11, 13}]
{1, 11, 17} (264) [key: +; closure: {1, 6, 11, 17}]
{1, 12, 17} (24) [key: +; closure: {1, 6, 12, 17}]
{3, 4, 6} (219) [key: +; closure: {1, 3, 4, 6, 8, 11, 17}]
{3, 4, 7} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 4, 12} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 4, 13} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 4, 14} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 4, 15} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 4, 17} (219) [key: +; closure: {1, 3, 4, 6, 8, 11, 17}]
{3, 6, 8} (225) [key: +; closure: {1, 3, 6, 8, 11, 17}]
{3, 6, 10} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 6, 11} (231) [key: +; closure: {1, 3, 6, 11}]
{3, 6, 15} (23) [key: +; closure: {1, 3, 6, 15}]
{3, 6, 17} (233) [key: +; closure: {1, 3, 6, 17}]
{3, 7, 8} (13) [key: +; closure: {1, 3, 6, 7, 8, 11, 13, 17}]
{3, 7, 10} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 7, 11} (19) [key: +; closure: {1, 3, 6, 7, 11, 13}]
{3, 7, 12} (8) [key: +; closure: {1, 3, 6, 7, 12, 15, 17}]
{3, 7, 15} (17) [key: +; closure: {1, 3, 6, 7, 15}]
{3, 7, 17} (17) [key: +; closure: {1, 3, 6, 7, 17}]
{3, 8, 12} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 8, 13} (13) [key: +; closure: {1, 3, 6, 7, 8, 11, 13, 17}]
{3, 8, 14} (10) [key: +; closure: {1, 3, 6, 7, 8, 11, 13, 14, 17}]
{3, 8, 15} (10) [key: +; closure: {1, 3, 6, 7, 8, 11, 13, 15, 17}]
{3, 8, 17} (225) [key: +; closure: {1, 3, 6, 8, 11, 17}]
{3, 10, 12} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 10, 13} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 10, 14} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 10, 15} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 10, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 11, 12} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 11, 13} (19) [key: +; closure: {1, 3, 6, 7, 11, 13}]
{3, 11, 14} (16) [key: +; closure: {1, 3, 6, 7, 11, 13, 14}]
{3, 11, 15} (12) [key: +; closure: {1, 3, 6, 7, 11, 13, 15, 17}]
{3, 11, 17} (227) [key: +; closure: {1, 3, 6, 11, 17}]
{3, 12, 13} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 12, 14} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 12, 17} (10) [key: +; closure: {1, 3, 6, 12, 15, 17}]
{3, 13, 15} (15) [key: +; closure: {1, 3, 6, 7, 13, 15}]
{3, 13, 17} (16) [key: +; closure: {1, 3, 6, 7, 13, 17}]
{3, 14, 15} (12) [key: +; closure: {1, 3, 6, 7, 13, 14, 15}]
{3, 14, 17} (13) [key: +; closure: {1, 3, 6, 7, 13, 14, 17}]
{3, 15, 17} (19) [key: +; closure: {1, 3, 15, 17}]
{4, 6, 8} (248) [key: +; closure: {4, 6, 8, 11}]
{4, 6, 10} (13) [key: +; closure: {1, 4, 6, 8, 10, 11, 13}]
{4, 6, 13} (35) [key: +; closure: {1, 4, 6, 11, 13}]
{4, 6, 17} (238) [key: +; closure: {4, 6, 8, 11, 17}]
{4, 7, 8} (18) [key: +; closure: {4, 6, 7, 8, 11}]
{4, 7, 9} (11) [key: +; closure: {1, 4, 6, 7, 8, 9, 11, 13}]
{4, 7, 10} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{4, 7, 13} (31) [key: +; closure: {1, 4, 6, 7, 11, 13}]
{4, 7, 15} (15) [key: +; closure: {1, 4, 6, 7, 11, 12, 13, 14, 15}]
{4, 7, 17} (14) [key: +; closure: {4, 6, 7, 8, 11, 17}]
{4, 8, 12} (12) [key: +; closure: {1, 4, 6, 7, 8, 11, 12, 13, 14}]
{4, 8, 13} (22) [key: +; closure: {4, 8, 11, 13}]
{4, 8, 14} (15) [key: +; closure: {1, 4, 6, 7, 8, 11, 13, 14}]
{4, 8, 15} (13) [key: +; closure: {1, 4, 6, 8, 11, 13, 15}]
{4, 9, 10} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{4, 9, 12} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{4, 9, 13} (11) [key: +; closure: {1, 4, 6, 7, 8, 9, 11, 13}]
{4, 9, 14} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{4, 9, 15} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{4, 9, 17} (20) [key: +; closure: {1, 4, 6, 8, 9, 11, 17}]
{4, 10, 13} (13) [key: +; closure: {1, 4, 6, 8, 10, 11, 13}]
{4, 10, 14} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{4, 10, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
